Name,Ename,Code,Group Type,Attribute,Function Code,Data Type,Register Address,Bit Position,Bit Number,Precision,Ratio,Offset,Endian,Is Persisted,Storage Interval,Mutate Bound,Default Value,Max Value,Min Value,Unit,Is Show
故障越限次数数组[80],Fault Overlimit Count Array [80],722,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[81],Fault Overlimit Count Array [81],723,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[82],Fault Overlimit Count Array [82],724,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[83],Fault Overlimit Count Array [83],725,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[84],Fault Overlimit Count Array [84],726,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[85],Fault Overlimit Count Array [85],727,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[86],Fault Overlimit Count Array [86],728,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[87],Fault Overlimit Count Array [87],729,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[88],Fault Overlimit Count Array [88],730,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[89],Fault Overlimit Count Array [89],731,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[90],Fault Overlimit Count Array [90],732,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[91],Fault Overlimit Count Array [91],733,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[92],Fault Overlimit Count Array [92],734,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[93],Fault Overlimit Count Array [93],735,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[94],Fault Overlimit Count Array [94],736,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
